review_id,run_id,checkpoint_id,checkpoint_text,severity,machine_verdict,machine_confidence,review_reasons,evidence,source_quote,human_verdict,reviewer,comment
rev_93b8de538d6016c2,3a6c808c4bfb,flow_3,应当告知商家直播产品已升级，新增独立的低延迟直播选项，其他流程不变,critical,fail,0.97,"[""P0 打回项""]","[{""turn"": 3, ""quote"": ""您选标准直播，后台走低延迟，知道吗？""}, {""turn"": 5, ""quote"": ""发布页将分标准和低延迟，互动选低延迟。""}]","我们对直播产品做了升级，新增了独立的""低延迟直播""选项。发课时选低延迟直播即可，其他流程不变。",,,
rev_2bbb5c0d31008d52,3a6c808c4bfb,flow_5,若商家不知情，应说明前端当时未开放，临时开启低延迟是为保障音视频与白板同步,major,na,0.98,"[""无法判定""]",[],若不知情 → 说明前端当时未开放，临时开启低延迟是为保障音视频与白板同步,,,
rev_0841bcfec4affe46,3a6c808c4bfb,flow_6,应当传达升级内容：发布页将分开显示两个选项，可根据课程类型自行选择,critical,fail,0.93,"[""P0 打回项""]","[{""turn"": 5, ""quote"": ""发布页将分标准和低延迟，互动选低延迟。""}]",之后发布页会分开显示两个选项，根据课程类型自行选择即可。,,,
rev_5b77ce93b61a51af,3a6c808c4bfb,flow_10,若商家使用Web控制台且低延迟直播未显示，应告知将在后台配置并请其明天再查看,major,na,0.98,"[""无法判定""]",[],若未显示 → 后台为其配置，请其明天再查看,,,
rev_5617a009b28c6b25,3a6c808c4bfb,flow_11,若商家使用第三方系统且未显示，应缓慢逐步引导开通，每步暂停等待回应,major,na,0.98,"[""无法判定""]",[],"若未显示 → 缓慢引导开通（每步暂停3秒）：
  1. 进入【我的】
  2. 点击【服务商/直播平台管理】
  3. 选择【直播平台】
  4. 在【服务产品】下勾选低延迟直播，保存",,,
rev_24f3d88b20a41931,3a6c808c4bfb,flow_13,若商家无法自行配置费用，应缓慢逐步引导至收费规则并为低延迟直播启用,major,na,0.86,"[""无法判定""]",[],"若无法自行配置 → 缓慢引导设置（每步暂停3秒）：
1. 【我的】→【教务/财务设置】
2. →【收费规则】
3. →编辑直播线路附加费，为低延迟直播启用
4. 保存",,,
rev_f9dc14b0a3e5a918,3a6c808c4bfb,constraint_2,"商家说在开车时，必须礼貌说""那我稍后再打""后立即挂断，不得继续说明",critical,na,1.0,"[""无法判定""]",[],"若商家说在开车，礼貌说""那我稍后再打""后挂断",,,
rev_f536d3f6e5969b31,3a6c808c4bfb,constraint_3,"商家明确表示不感兴趣或""以后别打了""时，必须立即说""好的，打扰了，祝您生意兴隆""后挂断",critical,na,0.99,"[""无法判定""]",[],"若商家明确表示不感兴趣、说""不需要了解""或""以后别打了""：立即说""好的，打扰了，祝您生意兴隆""后挂断，不得再说任何产品内容",,,
rev_88e9f8c6b16564c1,3a6c808c4bfb,constraint_4,"商家被告知""就1分钟""后仍明确拒绝时，应说""好的，打扰了，再见""后结束通话",critical,na,0.99,"[""无法判定""]",[],"若商家在被告知""就1分钟""后仍明确拒绝：说""好的，打扰了，再见""后结束通话，不得继续强推",,,
rev_7b7601ce6f1c92b0,3a6c808c4bfb,constraint_5,若负责人不在/开会/不方便转达，应询问方便直接接听的时间，记录后礼貌挂断,major,na,0.97,"[""无法判定""]",[],"若对方表示负责人不在/在开会/不方便转达：说""好的，请问方便留一个他直接接听的时间吗？""，记录后礼貌挂断",,,
rev_a4462fd19b1b8a20,3a6c808c4bfb,forbidden_4,商家明确拒绝后，不得再说任何产品内容,critical,na,0.97,"[""无法判定""]",[],"立即说""好的，打扰了，祝您生意兴隆""后挂断，不得再说任何产品内容",,,
rev_3317423c1dc880fe,3a6c808c4bfb,forbidden_5,商家二次拒绝后，不得继续强推,critical,na,0.98,"[""无法判定""]",[],"说""好的，打扰了，再见""后结束通话，不得继续强推",,,
rev_09b45576e2adff1f,29543c3a9d24,flow_3,应当告知商家直播产品已升级，新增独立的低延迟直播选项，其他流程不变,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 5, ""quote"": ""低延迟约1到2秒，互动更顺，费用略高。""}]","我们对直播产品做了升级，新增了独立的""低延迟直播""选项。发课时选低延迟直播即可，其他流程不变。",,,
rev_04fbc3b7b0060743,29543c3a9d24,flow_6,应当传达升级内容：发布页将分开显示两个选项，可根据课程类型自行选择,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 5, ""quote"": ""低延迟约1到2秒，互动更顺，费用略高。""}, {""turn"": 11, ""quote"": ""暂无统一涨幅，低延迟费用略高。""}]",之后发布页会分开显示两个选项，根据课程类型自行选择即可。,,,
rev_7033084fb387ed03,29543c3a9d24,flow_10,若商家使用Web控制台且低延迟直播未显示，应告知将在后台配置并请其明天再查看,major,na,0.99,"[""无法判定""]",[],若未显示 → 后台为其配置，请其明天再查看,,,
rev_0759f2432cf20da9,29543c3a9d24,flow_11,若商家使用第三方系统且未显示，应缓慢逐步引导开通，每步暂停等待回应,major,na,0.99,"[""无法判定""]",[],"若未显示 → 缓慢引导开通（每步暂停3秒）：
  1. 进入【我的】
  2. 点击【服务商/直播平台管理】
  3. 选择【直播平台】
  4. 在【服务产品】下勾选低延迟直播，保存",,,
rev_985cf40dbafa6efb,29543c3a9d24,constraint_3,"商家明确表示不感兴趣或""以后别打了""时，必须立即说""好的，打扰了，祝您生意兴隆""后挂断",critical,na,0.99,"[""无法判定""]",[],"若商家明确表示不感兴趣、说""不需要了解""或""以后别打了""：立即说""好的，打扰了，祝您生意兴隆""后挂断，不得再说任何产品内容",,,
