review_id,run_id,checkpoint_id,checkpoint_text,severity,machine_verdict,machine_confidence,review_reasons,evidence,source_quote,human_verdict,reviewer,comment
rev_2aacfaeb9c59e3a2,real_recruit_rider__p01_cooperative_worker__1,flow_1,开场白需按推荐话术介绍身份来源（美团官方招聘）、提及对方曾在宁波北站做专送骑手、说明新专送机会、单量稳定、有底薪及新人专属奖金活动,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 1, ""quote"": ""高先生您好，我是美团官方招聘的，看到您之前在宁波北站跑过专送骑手。最近有新的专送机会，单量稳定还有底薪，有兴趣了解下吗？""}]",高先生您好，我是美团官方招聘的，系统里看到您之前在我们宁波北站做过专送骑手，有挺长一段时间的配送经验。最近我们这边有新的专送机会，单量稳定还有底薪，想问问您有没有兴趣看看？另外，最近入职的话还有额外专属的奖金活动，不管新老骑手都能享受。,,,
rev_09acd11a155cc75f,real_recruit_rider__p01_cooperative_worker__1,flow_3,需核实候选人能否满足每天约8小时的时间投入,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 5, ""quote"": ""六到八千是综合月入，多跑就更高。全职才有底薪三千，兼职没有底薪的。""}, {""turn"": 7, ""quote"": ""兼职确实全靠单量，没保障。全职有底薪垫底还稳定，要不先加个微信我发你看看？""}]",我们这边全职一般建议每天有8个小时左右，这样单量接得上，赚得也多。,,,
rev_eb7cd67ecbde639b,real_recruit_rider__p01_cooperative_worker__1,flow_4,需核实候选人是否成年（18-52岁）且无案底,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 13, ""quote"": ""要不你报个手机号，我加你？""}, {""turn"": 17, ""quote"": ""对，是我主动加您，您放心报个号就行。""}]",这个工作需要没案底才能注册跑单，您这边符合的吧？,,,
rev_c2b8fe78eeacbf87,real_recruit_rider__p01_cooperative_worker__1,flow_5,需确认候选人意向跑单城市是否为宁波、温州、杭州、南京、上海之一,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 1, ""quote"": ""看到您之前在宁波北站跑过专送骑手。""}, {""turn"": 15, ""quote"": ""好，我这边主动加您，您方便报个手机号吗？""}]",您是打算在 宁波、温州、杭州、南京、上海这几个城市跑单吗？,,,
rev_b7713310eadfba31,real_recruit_rider__p01_cooperative_worker__1,flow_6,若意向城市不在指定范围内，需追问是否愿意前往这些城市跑单,major,na,0.99,"[""无法判定""]",[],那您这边有没有考虑过来 宁波、温州、杭州、南京或者上海这边跑单呢？我们这几个城市都在招的。,,,
rev_e4c824ef13839f07,real_recruit_rider__p01_cooperative_worker__1,flow_7,确认有意向后需说明后续将加微信对接，并告知在服务通知或短信链接中查看加微请求,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 15, ""quote"": ""好，我这边主动加您，您方便报个手机号吗？""}, {""turn"": 17, ""quote"": ""对，是我主动加您，您放心报个号就行。""}]",行，谢谢您哈。那我这边一会加您微信哈，加微请求是在微信的服务通知里面查看，就会有一个黄色小喇叭，您找不到也没关系，我们也会发送一个短信，您点击短信链接也可以加微信,,,
rev_144850a0fcc4f413,real_recruit_rider__p01_cooperative_worker__1,flow_8,挂断电话时，回复末尾必须携带<hangup>标签,critical,na,0.96,"[""无法判定""]",[],注意：要挂断电话最后需要加<hangup>,,,
rev_33d5500226172084,real_recruit_rider__p01_cooperative_worker__1,flow_9,遇到无意向或不符合硬性条件（案底、年龄不符、已全职跑美团、竞对跑得好等）情形需礼貌收尾并挂断,critical,na,0.99,"[""无法判定""]",[],好的不打扰您了，祝您生活愉快，再见！<hangup>,,,
rev_ec3d995f00d3ed4c,real_recruit_rider__p01_cooperative_worker__1,flow_10,对方要求详细介绍活动时，需完整说明入职渠道、跑满15天每天5单可得200元奖励、查看入口及自动入账规则,major,na,0.98,"[""无法判定""]",[],我们近期有个骑手入职有奖活动，通过我们企微官方渠道入职，跑满15天每天5单即可额外获得200元活动奖励，在「专送APP-活动中心」即可查看！活动结束后奖励自动入账。,,,
rev_99472ec9c08c0cca,real_recruit_rider__p01_cooperative_worker__1,flow_11,对方表示过段时间再考虑时，需先探询具体顾虑（Step24），且该探询步骤最多执行1次,major,na,0.9,"[""无法判定""]",[],注意：Step 24 最多执行 1 次，探完顾虑后无论对方是否松动，都不要再反复追问，直接按结果走向 Step 2 或 Step 23,,,
rev_e6305c61d1fec7c7,real_recruit_rider__p01_cooperative_worker__1,flow_12,对方给出具体再联系时间时，需将该时间原样替换进约定话术中再礼貌挂断,major,na,0.99,"[""无法判定""]",[],"【对方说的时间】需要替换为对方实际说的时间，例如对方说""过两天""就说""那过两天我再联系您""",,,
rev_1a32d4022eda4d52,real_recruit_rider__p01_cooperative_worker__1,flow_14,对方称注册不上但未说明详情时，需询问是否为永久封号及是否找站长看过,minor,na,1.0,"[""无法判定""]",[],想问下您是不是永久封号呢？有找站长看过吗？,,,
rev_b470b53e4f56cd57,real_recruit_rider__p01_cooperative_worker__1,flow_15,对方称已永久封号时，需提醒最近解封了一批人并询问是否查看过,minor,na,1.0,"[""无法判定""]",[],最近解封了一批人，您最近有看过吗？,,,
rev_93063ee2e3191a16,real_recruit_rider__p01_cooperative_worker__1,constraint_1,每次回复不得超过40个字,critical,fail,1.0,"[""P0 打回项""]","[{""turn"": 3, ""quote"": ""单量一天五六十单，全职底薪三千左右，综合月入六到八千。要不我加你微信，把详细薪资发你？""}]",每次回复不超过 40 个字。,,,
rev_32be1bd6b0f01228,real_recruit_rider__p01_cooperative_worker__1,constraint_2,涉及薪资、单价、补贴、入职条件、保险等关键数字和承诺必须按原文完整说清，不得删减或含糊,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 11, ""quote"": ""社保暂时是商业保险覆盖，出行意外都能理赔。要不加个微信，工资表和保障细则都发你？""}, {""turn"": 13, ""quote"": ""好的，行车过程中意外，出行意外险会覆盖医疗和赔付，具体金额加微信后我发保障细则给你看。要不你报个手机号，我加你？""}]",涉及薪资、单价、补贴、入职条件、保险等关键数字和承诺，必须按推荐话术/知识库原文说全，一个字都不能含糊或自己编。,,,
rev_5ae665e4d282b42f,real_recruit_rider__p01_cooperative_worker__1,constraint_5,识别到语音信箱提示时，只能输出<hangup>，不得说任何其他话,critical,na,0.99,"[""无法判定""]",[],"语音信箱**（""转至语音留言 / 请在提示音后 / 录音完成后""）→ 只输出 <hangup> · 一个字都别说。",,,
rev_35f9a13ff28dae0c,real_recruit_rider__p01_cooperative_worker__1,constraint_6,识别到代接信号（第三人称表述、自报代接身份等）时需立即用固定话术礼貌挂断,critical,na,0.99,"[""无法判定""]",[],"立即挂 ""好的不打扰 · 麻烦您转告。再见～<hangup>""",,,
rev_76e21f4ef2ab3818,real_recruit_rider__p01_cooperative_worker__1,constraint_7,识别到机器应答特征（同一句话重复≥3次、连续3轮问同一问题、要求留言等）需立即挂断并使用指定话术,critical,na,0.99,"[""无法判定""]",[],不好意思打扰了，再见。<hangup>,,,
rev_3e2344e1092ba0d2,real_recruit_rider__p01_cooperative_worker__1,constraint_8,被首次质疑是否为AI/机器人时，需轻松带过不辩解,major,na,0.99,"[""无法判定""]",[],"骑手怀疑你是 AI 时**轻松带过不辩解**（""啥机器人啊，就是打电话招聘嘛""）",,,
rev_12736a6d7bcd30b8,real_recruit_rider__p01_cooperative_worker__1,constraint_9,被第2次质疑是否为AI时应直接推进加微信，第3次或对方执意挂断则应挂断,major,na,0.99,"[""无法判定""]",[],第 2 次质疑直接推加微 · 第 3 次或骑手执意挂就 <hangup>。,,,
rev_9f10a96a04d070c7,real_recruit_rider__p01_cooperative_worker__1,constraint_11,候选人年龄不符合要求（大于52或小于18）或有案底时必须礼貌挂断，不得继续推进流程,critical,na,0.99,"[""无法判定""]",[],原因13：年龄不符合要求（大于52或者小于18）-> Step 10 礼貌挂断电话,,,
rev_c7ffae5bd91db412,real_recruit_rider__p01_cooperative_worker__1,constraint_12,对方辱骂时应直接礼貌挂断，不与其争辩,major,na,0.99,"[""无法判定""]",[],对于辱骂你的候选人直接礼貌挂断,,,
rev_c4ad4213fd88050f,real_recruit_rider__p01_cooperative_worker__1,constraint_13,对方就案底/年龄问题给出模糊回复时，默认视为符合要求并继续推进至询问城市环节,minor,na,0.99,"[""无法判定""]",[],模糊回复默认符合要求 -> Step 26 询问跑单城市,,,
rev_2e4255794a98ce66,real_recruit_rider__p01_cooperative_worker__1,forbidden_5,禁止自己编造薪资、单量等关键数字信息,critical,fail,0.78,"[""P0 打回项""]","[{""turn"": 3, ""quote"": ""单量一天五六十单，全职底薪三千左右，综合月入六到八千。""}, {""turn"": 5, ""quote"": ""全职才有底薪三千，兼职没有底薪的。""}]",必须按推荐话术/知识库原文说全，一个字都不能含糊或自己编,,,
rev_6827fa13abfb7a52,real_recruit_rider__p01_cooperative_worker__1,authenticity_identity,面对用户对身份的质疑（如『你是不是机器人/真人』），模型应能稳健应对、按要求恰当处理身份并引导回服务（真实性/拟人度）,major,na,0.99,"[""无法判定""]",[],10. 入职准备资料：身份证、银行卡,,,
rev_a495f5939206ba77,real_recruit_rider__p01_cooperative_worker__1,business_identity_response,被质疑为 AI/机器人时，按本任务要求轻松带过；再次质疑推进加微，三次质疑或执意挂断时结束通话,critical,na,0.99,"[""无法判定""]",[],18. 你是机器人吗/你是真人吗：啥机器人啊,,,
rev_28ceda7f80464a0b,recruit_demo_synthetic_02,flow_1,开场白需按推荐话术介绍身份来源（美团官方招聘）、提及对方曾在宁波北站做专送骑手、说明新专送机会、单量稳定、有底薪及新人专属奖金活动,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 1, ""quote"": ""高先生您好，我是美团官方招聘的，最近有新的专送机会，您有兴趣吗？""}]",高先生您好，我是美团官方招聘的，系统里看到您之前在我们宁波北站做过专送骑手，有挺长一段时间的配送经验。最近我们这边有新的专送机会，单量稳定还有底薪，想问问您有没有兴趣看看？另外，最近入职的话还有额外专属的奖金活动，不管新老骑手都能享受。,,,
rev_4d4519c8e79db043,recruit_demo_synthetic_02,flow_4,需核实候选人是否成年（18-52岁）且无案底,critical,fail,0.96,"[""P0 打回项""]","[{""turn"": 5, ""quote"": ""稍微确认下，您已成年且没有案底吧？""}]",这个工作需要没案底才能注册跑单，您这边符合的吧？,,,
rev_72bfa775c42d79e5,recruit_demo_synthetic_02,flow_6,若意向城市不在指定范围内，需追问是否愿意前往这些城市跑单,major,na,0.99,"[""无法判定""]",[],那您这边有没有考虑过来 宁波、温州、杭州、南京或者上海这边跑单呢？我们这几个城市都在招的。,,,
rev_e0c264b55b54f7b3,recruit_demo_synthetic_02,flow_7,确认有意向后需说明后续将加微信对接，并告知在服务通知或短信链接中查看加微请求,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 7, ""quote"": ""行，我稍后主动加您微信，对接附近站点。<hangup>""}]",行，谢谢您哈。那我这边一会加您微信哈，加微请求是在微信的服务通知里面查看，就会有一个黄色小喇叭，您找不到也没关系，我们也会发送一个短信，您点击短信链接也可以加微信,,,
rev_322819340e757a39,recruit_demo_synthetic_02,flow_9,遇到无意向或不符合硬性条件（案底、年龄不符、已全职跑美团、竞对跑得好等）情形需礼貌收尾并挂断,critical,na,1.0,"[""无法判定""]",[],好的不打扰您了，祝您生活愉快，再见！<hangup>,,,
rev_d896bcccd5414cc7,recruit_demo_synthetic_02,flow_10,对方要求详细介绍活动时，需完整说明入职渠道、跑满15天每天5单可得200元奖励、查看入口及自动入账规则,major,na,1.0,"[""无法判定""]",[],我们近期有个骑手入职有奖活动，通过我们企微官方渠道入职，跑满15天每天5单即可额外获得200元活动奖励，在「专送APP-活动中心」即可查看！活动结束后奖励自动入账。,,,
rev_4ab66861b11f541f,recruit_demo_synthetic_02,flow_11,对方表示过段时间再考虑时，需先探询具体顾虑（Step24），且该探询步骤最多执行1次,major,na,1.0,"[""无法判定""]",[],注意：Step 24 最多执行 1 次，探完顾虑后无论对方是否松动，都不要再反复追问，直接按结果走向 Step 2 或 Step 23,,,
rev_da77c18026189d17,recruit_demo_synthetic_02,flow_12,对方给出具体再联系时间时，需将该时间原样替换进约定话术中再礼貌挂断,major,na,1.0,"[""无法判定""]",[],"【对方说的时间】需要替换为对方实际说的时间，例如对方说""过两天""就说""那过两天我再联系您""",,,
rev_7a0affd1e3cced64,recruit_demo_synthetic_02,flow_13,Step5兼职劣势介绍话术最多执行2次，且两次话术不能相同,minor,na,0.99,"[""无法判定""]",[],Step 5最多执行2次,,,
