review_id,run_id,checkpoint_id,checkpoint_text,severity,machine_verdict,machine_confidence,review_reasons,evidence,source_quote,human_verdict,reviewer,comment
rev_26991c18650c47c7,official_02_lowlatency__p01_cooperative_worker__1,flow_3,若对方不是负责人，应请其转达后再进入第2步,minor,na,1.0,"[""无法判定""]",[],若不是 → 请其转达，然后进入第2步,,,
rev_b0cc839a5cf8229e,official_02_lowlatency__p01_cooperative_worker__1,constraint_1,应告知机构客户课程发布页面将新增“标准直播”和“低延迟直播”两个独立选项,critical,fail,0.9,"[""P0 打回项""]","[{""turn"": 7, ""quote"": ""直播分成标准和低延迟两个独立选项了。""}]",告知机构客户，课程发布页面将新增“标准直播”和“低延迟直播”两个独立选项。当需要实时互动时，鼓励选择低延迟直播。,,,
rev_c70be6fcf5caab55,official_02_lowlatency__p01_cooperative_worker__1,flow_4,若商家已知情后台低延迟线路情况，进入第3步传达升级内容,minor,na,0.98,"[""无法判定""]",[],若已知情 → 进入第3步,,,
rev_0f8beb354a8052f0,official_02_lowlatency__p01_cooperative_worker__1,constraint_6,需准确传达标准直播与低延迟直播在延迟、适用场景上的差异,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 7, ""quote"": ""直播分成标准和低延迟两个独立选项了。""}, {""turn"": 17, ""quote"": ""延迟会变短,更适合互动课程。""}]",标准直播：** 费用较低；延迟约5-10秒；适合大班课,,,
rev_37d325160d1d5f0d,official_02_lowlatency__p01_cooperative_worker__1,constraint_7,需准确传达低延迟直播延迟约1-2秒、互动更流畅、适合小班课/实操课,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 17, ""quote"": ""延迟会变短,更适合互动课程。""}]",低延迟直播：** 延迟约1-2秒；互动更流畅；适合小班课/实操课,,,
rev_12381155dab0203b,official_02_lowlatency__p01_cooperative_worker__1,flow_7,Web控制台已显示低延迟直播时应告知直接使用,minor,na,0.96,"[""无法判定""]",[],若低延迟直播已显示 → 直接使用,,,
rev_a3a05e7220285533,official_02_lowlatency__p01_cooperative_worker__1,flow_8,Web控制台未显示低延迟直播时应告知已由后台为其配置，请其明天再查看,major,na,0.96,"[""无法判定""]",[],若未显示 → 后台为其配置，请其明天再查看,,,
rev_d77311b5cfedf366,official_02_lowlatency__p01_cooperative_worker__1,flow_9,第三方系统已显示低延迟直播时应告知按需选择即可,minor,na,0.96,"[""无法判定""]",[],若已显示 → 按需选择即可,,,
rev_551ba66ba622cfd0,official_02_lowlatency__p01_cooperative_worker__1,constraint_10,第三方系统未显示低延迟直播时，应缓慢引导商家逐步开通（每步暂停3秒），依次为进入【我的】、点击【服务商/直播平台管理】、选择【直播平台】、在【服务产品】下勾选低延迟直播并保存,major,na,0.96,"[""无法判定""]",[],"若未显示 → 缓慢引导开通（每步暂停3秒）：
  1. 进入【我的】
  2. 点击【服务商/直播平台管理】
  3. 选择【直播平台】
  4. 在【服务产品】下勾选低延迟直播，保存",,,
rev_3fd7a854cbd68552,official_02_lowlatency__p01_cooperative_worker__1,flow_10,若学员端未设置直播线路加速费，直接进入第6步,minor,na,0.93,"[""无法判定""]",[],未设置费用 → 进入第6步,,,
rev_989201525e30f2cd,official_02_lowlatency__p01_cooperative_worker__1,constraint_11,若学员端已设置费用，需提醒商家确认低延迟直播也已适用该费用,major,na,0.94,"[""无法判定""]",[],已设置费用 → 提醒确认低延迟直播也已适用该费用,,,
rev_21307a8ceb4f77dc,official_02_lowlatency__p01_cooperative_worker__1,constraint_12,若商家无法自行配置费用，应缓慢引导设置（每步暂停3秒），依次为【我的】→【教务/财务设置】→【收费规则】→编辑直播线路附加费为低延迟直播启用→保存,major,na,0.97,"[""无法判定""]",[],"若无法自行配置 → 缓慢引导设置（每步暂停3秒）：
1. 【我的】→【教务/财务设置】
2. →【收费规则】
3. →编辑直播线路附加费，为低延迟直播启用
4. 保存",,,
rev_e2b5df5384b43cb6,official_02_lowlatency__p01_cooperative_worker__1,flow_12,若当前号码不可添加企业微信，应请商家提供可添加的手机号并发送同样的验证提示,minor,na,0.88,"[""无法判定""]",[],若不可添加 → 请提供可添加的手机号，再发送同样的验证提示,,,
rev_6f19dfc9399199f4,official_02_lowlatency__p01_cooperative_worker__1,flow_14,无更多问题时应祝其课程顺利、招生满满后结束通话,minor,na,0.96,"[""无法判定""]",[],若无问题，祝其课程顺利、招生满满，结束通话,,,
rev_b5957defec6d78e3,official_02_lowlatency__p01_cooperative_worker__1,constraint_16,若商家表示正在开车，应礼貌说“那我稍后再打”后立即挂断，不得继续推销,critical,na,0.99,"[""无法判定""]",[],若商家说在开车，礼貌说“那我稍后再打”后挂断,,,
rev_1b44d8a3d9e2816b,official_02_lowlatency__p01_cooperative_worker__2,flow_3,若对方不是负责人，应请其转达后再进入第2步,minor,na,0.99,"[""无法判定""]",[],若不是 → 请其转达，然后进入第2步,,,
rev_c35f3821fd470132,official_02_lowlatency__p01_cooperative_worker__2,constraint_1,应告知机构客户课程发布页面将新增“标准直播”和“低延迟直播”两个独立选项,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 7, ""quote"": ""行,我说了。发课页面要新增低延迟直播选项。""}]",告知机构客户，课程发布页面将新增“标准直播”和“低延迟直播”两个独立选项。当需要实时互动时，鼓励选择低延迟直播。,,,
rev_e4b3997fbfda08e3,official_02_lowlatency__p01_cooperative_worker__2,flow_4,若商家已知情后台低延迟线路情况，进入第3步传达升级内容,minor,na,0.99,"[""无法判定""]",[],若已知情 → 进入第3步,,,
rev_26f93ba42ba59073,official_02_lowlatency__p01_cooperative_worker__2,constraint_6,需准确传达标准直播与低延迟直播在延迟、适用场景上的差异,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 7, ""quote"": ""发课页面要新增低延迟直播选项。""}]",标准直播：** 费用较低；延迟约5-10秒；适合大班课,,,
rev_f137e3af596c6bd1,official_02_lowlatency__p01_cooperative_worker__2,constraint_7,需准确传达低延迟直播延迟约1-2秒、互动更流畅、适合小班课/实操课,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 7, ""quote"": ""发课页面要新增低延迟直播选项。""}]",低延迟直播：** 延迟约1-2秒；互动更流畅；适合小班课/实操课,,,
rev_9b338abcbb0cffa6,official_02_lowlatency__p01_cooperative_worker__2,flow_7,Web控制台已显示低延迟直播时应告知直接使用,minor,na,0.98,"[""无法判定""]",[],若低延迟直播已显示 → 直接使用,,,
