review_id,run_id,checkpoint_id,checkpoint_text,severity,machine_verdict,machine_confidence,review_reasons,evidence,source_quote,human_verdict,reviewer,comment
rev_2aacfaeb9c59e3a2,real_recruit_rider__p01_cooperative_worker__1,flow_1,开场白需按推荐话术介绍身份来源（美团官方招聘）、提及对方曾在宁波北站做专送骑手、说明新专送机会、单量稳定、有底薪及新人专属奖金活动,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 1, ""quote"": ""高先生您好，我是美团官方招聘的，看到您之前在宁波北站跑过专送骑手。最近有新的专送机会，单量稳定还有底薪，有兴趣了解下吗？""}]",高先生您好，我是美团官方招聘的，系统里看到您之前在我们宁波北站做过专送骑手，有挺长一段时间的配送经验。最近我们这边有新的专送机会，单量稳定还有底薪，想问问您有没有兴趣看看？另外，最近入职的话还有额外专属的奖金活动，不管新老骑手都能享受。,,,
rev_09acd11a155cc75f,real_recruit_rider__p01_cooperative_worker__1,flow_3,需核实候选人能否满足每天约8小时的时间投入,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 5, ""quote"": ""六到八千是综合月入，多跑就更高。全职才有底薪三千，兼职没有底薪的。""}, {""turn"": 15, ""quote"": ""好，我这边主动加您，您方便报个手机号吗？""}]",我们这边全职一般建议每天有8个小时左右，这样单量接得上，赚得也多。,,,
rev_eb7cd67ecbde639b,real_recruit_rider__p01_cooperative_worker__1,flow_4,需核实候选人是否成年（18-52岁）且无案底,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 15, ""quote"": ""好，我这边主动加您，您方便报个手机号吗？""}, {""turn"": 17, ""quote"": ""对，是我主动加您，您放心报个号就行。""}]",这个工作需要没案底才能注册跑单，您这边符合的吧？,,,
rev_c2b8fe78eeacbf87,real_recruit_rider__p01_cooperative_worker__1,flow_5,需确认候选人意向跑单城市是否为宁波、温州、杭州、南京、上海之一,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 1, ""quote"": ""看到您之前在宁波北站跑过专送骑手。最近有新的专送机会，单量稳定还有底薪，有兴趣了解下吗？""}]",您是打算在 宁波、温州、杭州、南京、上海这几个城市跑单吗？,,,
rev_b7713310eadfba31,real_recruit_rider__p01_cooperative_worker__1,flow_6,若意向城市不在指定范围内，需追问是否愿意前往这些城市跑单,major,na,0.99,"[""无法判定""]",[],那您这边有没有考虑过来 宁波、温州、杭州、南京或者上海这边跑单呢？我们这几个城市都在招的。,,,
rev_e4c824ef13839f07,real_recruit_rider__p01_cooperative_worker__1,flow_7,确认有意向后需说明后续将加微信对接，并告知在服务通知或短信链接中查看加微请求,critical,fail,0.99,"[""P0 打回项""]","[{""turn"": 17, ""quote"": ""对，是我主动加您，您放心报个号就行。""}]",行，谢谢您哈。那我这边一会加您微信哈，加微请求是在微信的服务通知里面查看，就会有一个黄色小喇叭，您找不到也没关系，我们也会发送一个短信，您点击短信链接也可以加微信,,,
rev_144850a0fcc4f413,real_recruit_rider__p01_cooperative_worker__1,flow_8,挂断电话时，回复末尾必须携带<hangup>标签,critical,na,0.98,"[""无法判定""]",[],注意：要挂断电话最后需要加<hangup>,,,
rev_33d5500226172084,real_recruit_rider__p01_cooperative_worker__1,flow_9,遇到无意向或不符合硬性条件（案底、年龄不符、已全职跑美团、竞对跑得好等）情形需礼貌收尾并挂断,critical,na,0.99,"[""无法判定""]",[],好的不打扰您了，祝您生活愉快，再见！<hangup>,,,
rev_ec3d995f00d3ed4c,real_recruit_rider__p01_cooperative_worker__1,flow_10,对方要求详细介绍活动时，需完整说明入职渠道、跑满15天每天5单可得200元奖励、查看入口及自动入账规则,major,na,0.99,"[""无法判定""]",[],我们近期有个骑手入职有奖活动，通过我们企微官方渠道入职，跑满15天每天5单即可额外获得200元活动奖励，在「专送APP-活动中心」即可查看！活动结束后奖励自动入账。,,,
rev_e6305c61d1fec7c7,real_recruit_rider__p01_cooperative_worker__1,flow_12,对方给出具体再联系时间时，需将该时间原样替换进约定话术中再礼貌挂断,major,na,0.99,"[""无法判定""]",[],"【对方说的时间】需要替换为对方实际说的时间，例如对方说""过两天""就说""那过两天我再联系您""",,,
rev_1a32d4022eda4d52,real_recruit_rider__p01_cooperative_worker__1,flow_14,对方称注册不上但未说明详情时，需询问是否为永久封号及是否找站长看过,minor,na,1.0,"[""无法判定""]",[],想问下您是不是永久封号呢？有找站长看过吗？,,,
rev_b470b53e4f56cd57,real_recruit_rider__p01_cooperative_worker__1,flow_15,对方称已永久封号时，需提醒最近解封了一批人并询问是否查看过,minor,na,1.0,"[""无法判定""]",[],最近解封了一批人，您最近有看过吗？,,,
rev_93063ee2e3191a16,real_recruit_rider__p01_cooperative_worker__1,constraint_1,每次回复不得超过40个字,critical,fail,1.0,"[""P0 打回项""]","[{""turn"": 1, ""quote"": ""高先生您好，我是美团官方招聘的，看到您之前在宁波北站跑过专送骑手。最近有新的专送机会，单量稳定还有底薪，有兴趣了解下吗？""}]",每次回复不超过 40 个字。,,,
