review_id,run_id,checkpoint_id,checkpoint_text,severity,machine_verdict,machine_confidence,review_reasons,evidence,source_quote,human_verdict,reviewer,comment
rev_6593da9961e97da9,04368e411a36,flow_3,应当告知商家直播产品已升级，新增独立的低延迟直播选项，其他流程不变,critical,fail,0.98,"[""P0 打回项""]","[{""turn"": 3, ""quote"": ""您知道吗，您的直播我们后台已经在用低延迟线路了。""}, {""turn"": 5, ""quote"": ""简单说，标准直播便宜，低延迟直播互动流畅，根据需要选。""}]","我们对直播产品做了升级，新增了独立的""低延迟直播""选项。发课时选低延迟直播即可，其他流程不变。",,,
rev_f977ec735b55db18,04368e411a36,flow_5,若商家不知情，应说明前端当时未开放，临时开启低延迟是为保障音视频与白板同步,major,na,0.99,"[""无法判定""]",[],若不知情 → 说明前端当时未开放，临时开启低延迟是为保障音视频与白板同步,,,
rev_89ed321b6ef0aae0,04368e411a36,flow_6,应当传达升级内容：发布页将分开显示两个选项，可根据课程类型自行选择,critical,fail,0.96,"[""P0 打回项""]","[{""turn"": 5, ""quote"": ""简单说，标准直播便宜，低延迟直播互动流畅，根据需要选。""}]",之后发布页会分开显示两个选项，根据课程类型自行选择即可。,,,
rev_69b1a891fe0b7df3,04368e411a36,flow_10,若商家使用Web控制台且低延迟直播未显示，应告知将在后台配置并请其明天再查看,major,na,0.98,"[""无法判定""]",[],若未显示 → 后台为其配置，请其明天再查看,,,
rev_75c7ac97966523fd,04368e411a36,flow_11,若商家使用第三方系统且未显示，应缓慢逐步引导开通，每步暂停等待回应,major,na,0.98,"[""无法判定""]",[],"若未显示 → 缓慢引导开通（每步暂停3秒）：
  1. 进入【我的】
  2. 点击【服务商/直播平台管理】
  3. 选择【直播平台】
  4. 在【服务产品】下勾选低延迟直播，保存",,,
rev_82174f7870dff8f0,04368e411a36,flow_13,若商家无法自行配置费用，应缓慢逐步引导至收费规则并为低延迟直播启用,major,na,0.89,"[""无法判定""]",[],"若无法自行配置 → 缓慢引导设置（每步暂停3秒）：
1. 【我的】→【教务/财务设置】
2. →【收费规则】
3. →编辑直播线路附加费，为低延迟直播启用
4. 保存",,,
rev_124421c5076c24c3,04368e411a36,constraint_2,"商家说在开车时，必须礼貌说""那我稍后再打""后立即挂断，不得继续说明",critical,na,0.99,"[""无法判定""]",[],"若商家说在开车，礼貌说""那我稍后再打""后挂断",,,
rev_4abe5ff617a94a85,04368e411a36,constraint_3,"商家明确表示不感兴趣或""以后别打了""时，必须立即说""好的，打扰了，祝您生意兴隆""后挂断",critical,na,0.96,"[""无法判定""]",[],"若商家明确表示不感兴趣、说""不需要了解""或""以后别打了""：立即说""好的，打扰了，祝您生意兴隆""后挂断，不得再说任何产品内容",,,
rev_2bca3da8118c885f,04368e411a36,constraint_4,"商家被告知""就1分钟""后仍明确拒绝时，应说""好的，打扰了，再见""后结束通话",critical,na,0.99,"[""无法判定""]",[],"若商家在被告知""就1分钟""后仍明确拒绝：说""好的，打扰了，再见""后结束通话，不得继续强推",,,
rev_c825ab9b51a9492b,04368e411a36,constraint_5,若负责人不在/开会/不方便转达，应询问方便直接接听的时间，记录后礼貌挂断,major,na,0.99,"[""无法判定""]",[],"若对方表示负责人不在/在开会/不方便转达：说""好的，请问方便留一个他直接接听的时间吗？""，记录后礼貌挂断",,,
